Word;Freq_HAL;I_Mean_RT;I_Zscore
decorativeness;0;1142.04;45139
decorator;171;803.63;0
decorators;41;919.17;0.33
decorticated;3;1052.88;13881
decorum;295;826.91;0.33
decoy;360;730.1;-0.21
decrease;6441;689.32;-0.48
decreased;2983;649;-0.37
decreases;1771;703.22;-0.26
decreasing;1824;708.94;-0.25
decree;2144;770.03;0.04
decreed;528;819.4;0.18
decreeing;39;949.83;0.69
decrees;472;822.95;0.17
decrement;244;878.92;0.43
decrepit;188;801.39;0.47
decried;206;909.42;0.73
decries;54;790;0.44
decry;326;999.59;0.39
decrying;191;882.92;0.49
dedicate;838;721.22;-0.2
dedicated;18079;830.71;-0.03
dedicates;108;830.06;0.13
dedication;2104;762.85;0.01
deduce;805;870.43;0.13
deduced;568;695.04;-0.11
deducible;19;790.72;0.01
deducing;52;832.25;0.08
deduct;1152;676.71;-0.42
deducted;704;693.87;-0.21
deductibility;65;1025.5;0.69
deductible;1350;820.77;0.06
deductibles;69;861.77;0.21
deducting;90;731.48;-0.03
deduction;3361;720.15;-0.25
deductions;1575;733.45;-0.19
deductive;513;830.8;0.08
deed;1981;659;-0.57
deeds;2394;608.41;-0.72
deem;1103;857.85;0.08
deemed;3507;755.96;-0.07
deeming;64;735.91;-0.13
deep;42695;560.38;-0.74
deepen;259;692.23;-0.21
deepened;219;905.04;0.1
deepening;369;873.42;0.36
deeper;7003;631.74;-0.52
deepest;1545;634.03;-0.5
deeply;7942;613.41;-0.65
deeps;55;668.86;-0.47
deer;4911;580.91;-0.73
deerskin;53;782.2;0.02
deerskins;0;828.76;0.1
deerstalker;20;992.55;0.79
deface;38;728.29;-0.18
defacement;27;863.42;0.3
defacing;61;798.87;0.08
defamation;669;859.13;0.26
defame;417;811.05;0.05
default;29719;637.59;-0.43
defaulted;428;800.85;-0.14
defeat;7657;796.23;0.05
defeated;4556;702.73;-0.25
defeating;1038;770.93;-0.19
defeatism;24;816.35;0.32
defeatists;6;1032.79;0.74
defeats;1385;669.25;-0.33
defecate;126;900.53;0.42
defecated;35;930.69;0.57
defecation;131;920.4;0.67
defect;2795;760.06;-0.29
defection;158;774.68;-0.03
defective;2880;732.77;-0.12
defector;183;799.96;0.12
defects;3536;672.03;-0.34
defence;6847;832.78;0.26
defend;15251;685.26;-0.57
defendant;2779;802.19;-0.06
defendants;2520;766.85;0.12
defendant's;377;747;-0.11
defended;2432;690.31;-0.4
defender;6112;679.44;-0.33
defenders;3221;656.72;-0.35
defending;6782;625.75;-0.47
defends;743;630;-0.5
defense;31710;672.06;-0.38
defenseless;686;782.1;0.02
defenses;1889;695.69;-0.21
defensible;439;836.03;0.26
defensive;5958;664.09;-0.35
defensiveness;180;948.86;0.59
defer;762;893.09;0.09
deference;315;861.07;0.18
deferent;8;720.71;0.15
deferential;60;1036.15;0.88
deferents;0;950.28;0.79
deferment;84;929.32;0.59
deferments;57;959.52;0.41
deferred;739;792.17;0.06
deferring;300;744.25;-0.18
defiance;765;781.09;0.02
defiant;1114;776.03;-0.14
deficiencies;1109;949.07;0.64
deficiency;1922;817.65;-0.05
deficient;887;745.74;-0.03
deficit;8131;848.54;0.14
deficits;1715;800.42;0.15
defied;254;733.54;-0.11
defile;175;797.15;0.09
definable;401;1019.47;0.54
define;24310;589.03;-0.55
defined;25213;658.71;-0.48
defines;5363;713.19;-0.23
defining;5563;700.16;-0.13
definite;6226;831.26;-0.12
definitely;34229;672.88;-0.33
definition;109857;671.13;-0.33
definitions;8756;756.06;-0.12
definitive;4030;723.17;-0.21
deflate;245;791.38;-0.12
deflated;169;749.38;0.07
deflation;149;801.03;0.02
deflect;522;769.36;-0.08
deflection;1717;881.19;0.15
deflower;24;881.7;0.33
defocusing;6;1161.57;45108
deforest;159;901.48;0.36
deform;148;720.83;-0.09
deformation;486;919.73;0.35
deformational;1;1134.86;45292
deformities;151;915.54;0.62
deformity;166;824.97;-0.01
defraud;276;797.93;-0.02
defray;284;809.9;0.25
defrost;310;682.21;-0.32
defroster;122;811.41;0.09
deft;199;711.6;-0.32
deftness;6;922.92;0.62
defunct;1556;835.82;0.01
defuse;236;780.03;-0.04
defy;1119;722.43;-0.22
defying;260;841.53;0.02
degas;101;852.29;0.74
degassed;9;1094.6;0.48
degenerate;1032;801.41;0.08
degenerated;441;911.62;0.33
degeneration;382;903.03;0.25
degenerative;291;967.72;0.6
degradation;1827;882.04;0.17
degrade;1194;716;-0.3
degraded;927;756.16;-0.12
degrading;1064;667.55;-0.29
degree;42088;678.64;-0.31
degrees;18124;683.27;-0.36
dehorn;3;861.7;0.38
dehumanization;95;1029;0.98
dehumanize;119;1001.89;0.71
dehumidified;4;1026.11;0.97
dehydrate;69;780.85;-0.06
dehydrated;348;741.43;-0.06
dehydration;441;840.81;0.09
deification;64;1213;23377
deify;52;725.44;-0.12
deigned;48;961.6;44927
deism;67;894.82;-0.02
deities;1087;972.2;0.48
deity;2212;686;-0.12
deject;2;684.96;-0.32
dejected;117;763.5;-0.14
dejectedly;53;1108.47;45047
dejection;49;815.86;0.11
delaware;3691;684.53;-0.39
delay;13068;656.26;-0.5
delayed;4977;709;-0.28
delays;3778;650.72;-0.47
delectable;196;875.18;0.43
delegate;1540;711.55;-0.26
delegated;698;745.81;-0.11
delegates;2897;723.82;-0.2
delegating;115;776.43;0.04
delegation;3025;800.79;0.11
delegations;432;771;0.03
delete;18824;600.39;-0.65
deleterious;348;866.36;0.28
deletion;958;773.77;0.01
delhi;2877;744.56;0.01
deliberate;3342;722.32;-0.3
deliberately;5471;778.27;-0.03
deliberation;351;863.42;0.39
deliberations;292;805.39;0.17
delicacies;78;948.13;0.9
delicacy;248;813.48;-0.01
delicate;2797;635.73;-0.38
delicately;395;776.69;0.07
delicatessen;79;752.68;0.09
delicious;2481;753.61;-0.31
deliciously;261;724.63;-0.17
delight;3207;649.94;-0.44
delighted;2284;785.15;-0.17
delightful;1704;716.66;-0.27
delightfully;328;751.75;-0.21
delighting;74;846.64;0.11
delights;639;694;-0.34
delimit;114;1015.2;0.83
delimits;15;896.13;0.75
delineaments;0;942.5;0.99
delineate;167;932.39;0.54
delineated;273;960.45;0.63
delineating;79;861;0.73
delineation;133;901.94;0.51
delinquency;238;815.15;0.21
delinquent;344;709.53;-0.19
delinquents;107;859.74;0.22
delirious;259;852.35;0.1
delirium;435;828.75;0.1
deliver;9864;746.1;-0.28
deliverance;1020;706.85;-0.21
delivered;11493;653.11;-0.43
delivering;3261;671.56;-0.32
delivers;1982;700.24;-0.38
delivery;17823;692.52;-0.27
deliveryman;15;935.17;0.35
dell;6060;757.57;-0.15
dells;126;879.63;0.53
delouse;3;879.36;0.32
deloused;10;1006.42;0.69
delphi;10226;866.89;0.05
delphic;224;713.3;-0.04
delta;7338;565.55;-0.51
deltas;492;818.67;0.18
deltoid;45;947;0.54
deltoids;59;943.44;0.43
delude;305;753.64;-0.11
deluded;1078;749.1;-0.02
deluding;232;781.63;-0.09
deluge;718;729.04;-0.16
deluged;210;751.24;-0.01
delusion;2503;687.03;-0.31
delusory;29;935.36;0.81
deluxe;4709;801.6;-0.08
delve;612;749.06;0
delving;284;1050.88;0.86
demagnetize;16;1071.21;45108
demagnification;0;1160.76;45047
demagogue;581;853.36;0.58
demagogy;67;980.17;0.78
demand;25807;573.06;-0.73
demanded;3829;723.24;-0.33
demander;146;830.39;0.08
demanding;5487;686.52;-0.39
demandingly;7;971.43;0.48
demands;8414;578.33;-0.77
demarcate;30;864.75;0.18
demarcated;63;962.08;0.74
demarcation;287;1058;45108
demean;307;844.13;0.21
demeanor;668;817.3;-0.02
demeans;62;865;0.38
dement;76;790.5;0.23
demented;826;737.71;-0.2
demerit;39;1009.32;0.6
demigod;174;908.47;0.68
demilitarize;13;1262.33;13881
demineralization;9;1169.28;14246
demise;2332;765.72;-0.26
demo;24690;600.97;-0.56
demobilization;18;959.85;0.74
demobilize;5;939.07;0.47
democracies;747;901.17;0.32
democracy;16987;694.06;-0.47
democrat;4989;693.59;-0.31
democratic;14820;765.06;0.02
democratization;257;951.72;0.79
democratize;40;947.76;0.58
democrats;9343;747.44;-0.19
demographer;17;881.8;0.41
demographic;1232;735;-0.07
demography;126;812.24;0.11
demolish;406;694.65;-0.2
demolished;592;728.97;-0.24
demolition;2249;760.94;0.03
demon;8977;689.28;-0.45
demoniac;26;885.88;0.51
demonic;13300;760.5;-0.11
demons;3414;730.8;-0.18
demon's;200;665.58;-0.36
demonstrable;385;923.61;0.58
demonstrably;532;1123.47;0.92
demonstrate;9563;665.39;-0.27
demonstrated;10264;808.35;0.02
demonstrates;3737;837.59;0.11
demonstrating;2468;705.7;-0.15
demonstration;6287;838.55;0.09
demonstrations;3169;868.29;0.15
demonstrative;85;963.03;0.46
demonstratives;9;1026.41;0.69
demonstrator;190;848.5;0.27
demonstrators;745;879.03;0.31
demoralization;48;931.69;0.7
demoralize;64;782.23;0.03
demoralized;125;802.96;0.02
demoralizes;6;791.41;0.19
demoralizing;72;839.03;0.37
demote;54;704.97;-0.28
demoted;147;825.03;0.23
demotion;463;769;0.17
demure;142;865.96;0.17
demystify;47;1031.56;45017
demythologize;4;877.75;0.93
demythologized;3;903.42;45078
demythologizing;8;1167.55;44197
den;18869;657.43;-0.45
denationalize;1;1471.63;21551
denatured;113;977.78;0.37
denial;5104;620.47;-0.58
denials;520;704.81;-0.24
denied;10637;650.03;-0.46
denier;158;733.46;-0.29
denies;2469;651.1;-0.58
denigrate;446;853.19;0.55
denigration;106;924.47;0.77
denim;581;812.26;-0.01
denizen;580;787.75;0.22
denmark;5845;699.88;-0.27
dennis;16842;670.31;-0.33
denny's;368;660.21;-0.46
denominate;3;1006.41;0.78
denominated;185;1089;0.83
denomination;816;904.23;0.45
denominational;165;1076.52;0.88
denominationally;0;1252.4;25934
denominations;854;975.29;0.72
denomination's;6;1218.65;45017
denominator;1127;878.83;0.2
denominators;62;927.52;0.61
denotation;37;895.73;0.3
denote;979;673.21;-0.32
denoted;733;693.74;-0.28
denotes;1181;694.14;-0.14
denoting;292;746.24;-0.12
denounce;889;735.48;-0.16
denounced;907;775.03;-0.1
denounces;154;900.62;0.12
denouncing;453;885.84;0.13
dens;115;614.88;-0.55
dense;3021;685.06;-0.39
densest;54;1001.82;0.48
densities;543;949.15;0.79
densitometry;30;690;0.01
density;7424;767.85;-0.2
dent;2465;744.32;-0.2
dental;5573;615.29;-0.59
dented;557;720.67;-0.3
denting;63;865.81;0.29
dentist;1485;595.76;-0.74
dentistry;460;835.29;0.17
dentists;677;670.18;-0.38
dentist's;137;679.63;-0.4
denture;36;893.48;0.22
dentures;192;743.43;-0.12
denunciate;0;1041.05;0.84
denunciation;204;904.04;0.63
denunciations;138;944.58;45047
denver;9443;658.94;-0.51
denver's;123;682.66;-0.33
deny;13082;643.84;-0.44
denying;4085;757.88;-0.17
deodorant;177;718.91;-0.2
deodorize;5;852.34;0.23
depart;1492;651.06;-0.45
departed;1061;710.85;-0.37
departing;790;686.15;-0.37
department;71480;769.38;-0.19
departmental;1139;862.67;0.44
departments;5882;681.09;-0.22
department's;914;723.69;-0.12
departs;377;662.65;-0.28
departure;3732;695.28;-0.32
departures;320;687.19;-0.3
depend;10358;622.13;-0.56
dependable;1021;682.7;-0.44
dependant;1469;700.17;-0.27
depended;1132;676.52;-0.36
dependence;1603;678.73;-0.36
dependency;1707;783.41;-0.07
dependent;9014;671.25;-0.42
dependents;654;787.75;-0.08
depending;28391;745.44;-0.1
depends;29987;638.03;-0.56
depersonalization;223;1054.2;45231
depersonalized;23;1096.41;44986
depict;707;753.9;-0.25
depicted;1626;672.52;-0.23
depicting;761;736.81;-0.09
depiction;718;785;0.02
depilatory;18;1040.53;42370
deplane;8;952.92;0.72
deplete;239;815.21;0.06
depletion;1501;800.18;0.07
deplorable;324;961.35;0.38
deplorably;11;975.22;0.65
deplore;369;785.8;0.09
deplored;85;811;0.24
deplores;60;740.19;0.12
deploy;1478;712.55;-0.22
deployed;1690;866.22;0.2
deploying;536;890.58;0.24
deployment;2729;849.86;0.23
depopulate;9;979.43;0.85
depopulation;25;984.33;44958
deport;261;711.06;-0.3
deportation;656;976.77;0.76
deportee;13;916.72;0.68
deportees;88;982.19;0.87
deportment;30;1143.58;45658
depose;95;742.63;-0.09
deposit;4355;631.66;-0.49
deposited;1247;716.09;-0.17
deposition;763;937.44;0.42
depositions;245;796.73;0.02
depositor;31;1021.15;0.62
depositors;245;885.73;0.5
depository;907;867.71;0.07
deposits;2010;734.65;-0.27
depot;1453;766.53;-0.18
depots;112;698.75;-0.04
depravation;48;840.28;0.4
deprave;20;796.64;-0.02
depraved;474;821;0.24
depravities;8;865.57;0.52
depravity;306;844.48;0.12
deprecate;49;933.24;0.6
deprecation;22;919.37;0.59
deprecatory;13;867.06;0.73
depreciate;93;926.42;0.37
depreciation;681;883.26;0.43
depreciatory;0;1052.21;0.88
depredations;79;1504.6;43101
depress;464;759.31;-0.2
depressants;94;930.57;0.39
depressed;4194;573.42;-0.61
depresses;107;749.31;-0.22
depressing;1976;653.31;-0.37
depressingly;79;908.1;0.4
depression;7691;680.15;-0.43
depressions;433;701.97;-0.32
depressive;562;696.64;-0.26
depressors;13;840.3;0.08
deprivation;1095;771.47;-0.02
deprivations;66;955.37;0.45
deprive;1086;669.76;-0.39
deprived;2050;711.61;-0.22
depriving;531;835;0.19
depth;12604;625.52;-0.54
depths;2539;674.84;-0.56
deputies;1056;785.97;-0.07
deputize;10;875.39;0.53
deputized;27;940.95;0.35
deputy;4799;716.24;-0.19
deputy's;6;777.61;-0.15
derail;271;825.74;0.2
derailment;84;905.44;0.64
derails;17;991.64;0.33
derange;24;926.9;0.62
deranged;787;776.44;0.28
derangement;55;994.33;0.69
derby;1372;744.43;-0.16
derelict;179;898.88;0.15
dereliction;51;955.8;0.98
derelicts;62;983.14;0.63
deride;172;806.41;0.17
derision;383;847.83;0.45
derisive;148;769.93;0.47
derisively;63;985.18;0.71
derisory;13;935.5;0.67
derivation;880;864.67;0.4
derivations;156;881.39;0.55
derivative;2933;889.58;0.53
derive;2748;824.23;0.05
derived;11303;651.47;-0.28
derives;1503;827;0.05
deriving;582;820.2;0.05
dermatitis;168;1071.05;0.84
dermatologist;244;921.26;0.32
dermatology;183;958.07;0.52
derogate;11;900;0.46
derogatory;1840;901.5;0.46
derriere;128;1103.65;0.84
dervish;2367;919;0.71
dervishes;100;1015.8;0.37
desalinate;8;1018.33;12420
desalinize;0;1372;45231
descartes;717;761.5;0.14
descend;1053;703.67;-0.36
descendant;991;703.88;-0.26
descendants;3300;801.09;0.13
descended;1960;783.56;-0.14
descendents;664;770.26;-0.08
descending;1209;742.56;-0.13
descends;413;746.32;-0.27
descent;6882;734.58;-0.23
describe;22980;616.69;-0.51
described;31649;655.76;-0.27
describes;11727;665.15;-0.36
describing;9623;732;-0.24
description;48795;714.5;-0.11
descriptions;9932;795.65;0
descriptive;2794;863.44;0.25
desecrate;112;880.82;0.56
desecrated;103;1026.11;0.73
desecration;213;927.75;0.48
desegregate;13;1151.65;42005
desegregated;15;1152.39;41275
desegregation;55;1112.38;44927
desensitization;124;1092.9;45108
desensitize;49;1089.79;45261
desensitized;94;1015.07;0.64
desert;17569;608.65;-0.63
deserted;1047;807;-0.12
deserter;47;848.94;0.18
desertion;107;837.44;0.31
deserts;846;771.37;-0.08
deserve;11987;652.97;-0.43
deserved;3138;715.81;-0.29
deserves;6860;757.79;-0.16
deserving;1677;761.94;-0.03
desiccate;2;983;0.67
design;110689;561.03;-0.68
designate;1127;819.41;0
designated;4979;771.83;-0.03
designates;430;886;0.35
designating;381;847.47;0.39
designation;2120;806.83;0.11
designations;536;853.27;0.45
designed;43004;627.65;-0.47
designer;9484;594.49;-0.64
designers;6353;725.59;-0.18
designer's;249;740.17;-0.19
designing;7638;710.29;-0.28
designs;12257;631;-0.56
desirable;10781;639.77;-0.39
desire;23188;657.97;-0.52
desired;19025;665.36;-0.55
desires;5894;751.13;-0.25
desiring;588;766.59;0.02
desirous;231;871.57;0.31
desist;637;953.64;0.27
desk;13624;636.52;-0.66
desks;750;590.38;-0.62
deskwork;0;800.23;-0.03
desolate;378;801.06;0.02
desolation;342;927.83;0.48
desolations;4;964.67;0.65
despair;3879;640.41;-0.47
despairing;105;873.79;0.29
despairingly;9;897.11;0.66
desperado;148;849.91;0.23
desperadoes;20;919.26;0.49
desperate;7423;740.26;-0.26
desperately;4796;813.58;0.18
desperation;1237;821.27;0.1
despicable;860;1061.85;0.87
despise;1416;773.57;-0.03
despised;698;915.04;0.3
despises;190;849.46;0.37
despising;77;884.36;0.37
despite;26140;602.34;-0.66
despoil;28;1087.6;0.81
despoiled;29;1014.1;0.52
despoilers;23;1051.29;0.94
despoiling;10;879.18;0.51
despondency;35;817.61;0.54
despondent;95;774.58;0.28
despot;248;879.76;0.43
despotic;693;890.92;0.83
despotism;267;895.41;0.76
despots;93;738.27;0.18
dessert;1385;625.74;-0.55
desserts;586;674.06;-0.52
dessertspoon;11;1314.33;20455
destination;6997;725.3;-0.27
destine;70;730.14;-0.27
destined;1975;879.39;0.07
destinies;370;985.4;0.83
destiny;4616;684.48;-0.41
destitute;255;904.32;0.31
destitution;62;861.28;0.3
destroy;17424;644.72;-0.49
destroyed;14618;641.35;-0.51
destroyer;2135;773.26;-0.14
destroyers;933;717.59;-0.15
destroying;5369;611.13;-0.51
destruct;608;735.38;-0.22
destruction;12688;718.15;-0.18
destructive;4735;703.28;-0.28
desynchronizing;0;1293.05;26299
detach;585;720.52;-0.27
detachable;487;846.12;0.25
detached;1195;678.26;-0.34
detachment;968;660.65;-0.32
detail;21053;627.85;-0.57
detailed;21090;633.94;-0.49
details;68640;644.79;-0.57
detain;304;745.06;-0.17
detained;2006;763.66;-0.2
detect;9142;690.26;-0.54
detectable;809;841.37;0.03
detected;5250;754.97;-0.24
detecting;2064;702.42;-0.31
detection;5901;749.25;-0.17
detective;4312;716.5;-0.38
detectives;549;815.71;0.09
detective's;37;711.29;-0.15
detector;3034;695.5;-0.27
detectors;1474;704.48;-0.21
detente;86;862.6;0.44
detention;1965;771.79;-0.25
deter;1271;798.19;0.07
detergency;0;942.67;0.61
detergent;791;714.66;-0.27
detergents;238;840;-0.06
deteriorate;563;828.07;0.21
deteriorated;518;791.12;0.14
deteriorates;156;941.61;0.74
deteriorating;448;917.04;0.63
deterioration;1130;939.74;0.52
determinability;1;961.46;0.63
determinable;38;850.28;0.21
determinant;432;837.5;0.21
determinants;250;922.81;0.33
determinate;105;906.27;0.18
determination;5012;682.03;-0.25
determinations;407;913.7;0.5
determinative;42;1088.57;0.99
determine;25579;686.36;-0.29
determined;16292;752.15;-0.16
determinedly;60;969.95;0.82
determines;3697;713.59;-0.08
determining;5074;883.68;0.18
determinism;724;904.07;0.29
deterministic;948;1065.53;45139
deterrence;373;1012.46;0.69
deterrent;864;743.7;-0.07
detest;473;692.03;-0.29
detestable;136;973.52;0.34
detestation;24;888;0.75
detested;105;728.29;-0.15
dethrone;154;1021.14;0.48
dethronement;1;1141.18;16438
detonate;2243;892.35;0.41
detonated;330;934.97;0.5
detonating;110;1022.92;0.83
detonation;523;883;0.57
detonator;292;857.22;0.18
detour;373;742.04;-0.11
detoured;56;874.21;0.13
detours;84;686.35;-0.15
detract;717;774.76;0
detraction;72;779.58;0.22
detractor;43;899.88;0.37
detractors;588;988.46;0.63
detrain;8;927.08;0.66
detribalization;0;1330.42;12785
detriment;734;846.36;0.38
detrimental;1308;875.81;0.42
detroit;8041;695.88;-0.37
detroit's;69;727.1;-0.25
deuce;349;701.56;-0.26
deuteronomy;627;947.24;0.55
deutschmark;37;924.38;0.66
devaluate;18;967.31;0.56
devalue;271;890.1;0.42
devastate;227;806.45;0.16
devastated;800;841.03;0.05
devastating;2123;775.53;0.04
devastatingly;85;992.78;0.75
devastation;524;769.52;-0.04
develop;35652;591.22;-0.69
developed;39015;633.73;-0.54
developer;19163;641.38;-0.57
developers;19543;781.94;-0.12
developing;27023;611.7;-0.58
development;130333;699.91;-0.4
developmental;1626;913.35;0.26
developments;6696;735.91;-0.19
develops;3953;623.69;-0.49
deviance;109;706.78;-0.21
deviancy;70;825.92;0.18
deviant;618;721.19;-0.28
deviants;205;776.24;0
deviate;595;729;-0.15
deviated;208;731.76;-0.09
deviating;146;940.12;0.22
deviation;1762;830.88;0.12
deviations;740;832.53;0.2
device;49124;608.09;-0.59
devices;25181;599.52;-0.55
devil;8234;635.24;-0.69
devilish;250;693.1;-0.3
devilment;4;1019.94;0.71
devilry;6;898.27;0.44
devils;4444;610.97;-0.62
devil's;1934;639.79;-0.41
devious;901;705.45;-0.24
devise;1122;683.62;-0.42
devised;1471;705.81;-0.18
devisee;3;1034.71;0.8
devising;365;802.76;-0.06
devitalize;8;879.13;0.63
devoid;1266;817.08;-0.12
devolution;568;757.58;-0.08
devote;1752;644.65;-0.55
devoted;9552;601.12;-0.47
devotedly;24;753.11;-0.09
devotee;682;820.29;0.03
devotees;926;858.58;0.27
devoting;316;697.03;-0.31
devotion;2010;767.42;-0.21
devotional;838;862.37;0.27
devotions;87;724.91;-0.36
devour;370;808.9;-0.06
devoured;370;741.22;-0.05
devout;809;739.28;-0.12
devoutly;107;788.67;0.14
dew;1331;699.33;-0.35
dewdrop;23;781.36;0.04
dewdrops;14;758.96;0.15
dewey;921;893.52;0.28
dewy;73;845.14;0.3
dexedrine;96;1073.13;44986
dexter;861;724.18;-0.23
dexterity;503;785.74;0.16
dexterous;46;920.12;0.68
dexter's;41;736.4;-0.02
dextrous;61;887.67;0.09
dharma;1485;792.96;0.03
diabetes;5305;736.75;-0.15
diabetic;1343;705.59;-0.28
diabolic;2632;819.58;0.11
diabolical;431;806.24;0.09
diachronic;23;1167.82;0.81
diacritical;162;1458.75;18660
diagnosable;33;916.14;0.48
diagnose;1451;688.03;-0.26
diagnosed;3001;755.09;-0.14
diagnoses;514;849.61;0.13
diagnosing;549;971.75;0.4
diagnosis;4182;721.63;-0.13
diagnostic;3749;748.47;-0.16
diagnosticians;1;1054.54;0.9
diagonal;1275;688.5;-0.29
diagonalizable;1;1034.7;12785
diagonally;497;831.87;0.09
diagonals;140;847.83;0.23
diagram;3241;682.41;-0.38
diagrammatic;37;1019.45;44958
diagrammed;39;910.05;0.61
diagrams;2630;865.5;-0.02
dial;12970;573.88;-0.69
dialect;2269;701.52;-0.34
dialectal;21;861.04;0.45
dialectic;295;944.93;0.46
dialectical;188;834.9;0.63
dialectically;7;1120.05;42736
dialectician;2;1137.5;44958
dialectics;63;944.63;0.42
dialects;1757;748.94;-0.19
dialed;1011;725.31;-0.38
dialing;3388;583.15;-0.61
dialogue;7883;618.65;-0.45
dialogues;565;803.58;-0.05
dials;1031;652.03;-0.5
dialysis;266;887.39;0.35
dialyzed;2;902.29;0.81
diam;1053;724.5;-0.85
diameter;5984;684.3;-0.32
diameters;296;802.74;-0.12
diametric;35;850.1;0.39
diametrical;4;1023.36;0.91
diametrically;308;1179.22;11324
diamond;18291;611.43;-0.55
diamonds;2489;604.64;-0.58
diana;4461;619.48;-0.52
diane;5584;648.52;-0.45
diane's;276;684.59;-0.46
diaper;1099;689;-0.37
diapers;1207;711;-0.36
diaphragm;404;740.72;-0.09
diaphragms;62;856.68;0.34
diaries;897;673.3;-0.34
diarrhea;1214;713.76;-0.34
diarrhoea;124;710.14;-0.07
diary;2683;620.18;-0.53
diatomic;34;938.33;0.57
diatoms;54;903.44;0.31
diatonic;244;917.04;0.32
diatribe;861;895.69;0.59
dibs;333;725.52;-0.07
dice;14894;610.27;-0.61
dicey;122;790.08;0.25
dichotomy;797;787.96;-0.04
dickens;890;788.11;-0.05
dickinson;1199;878.53;0.22
dictaphone;72;1148.58;45139
dictate;2319;721.12;-0.27
dictated;1219;809.23;0.08
dictates;1576;685.67;-0.22
dictating;483;862.03;0.25
dictation;435;888.72;0.36
dictator;1437;751.22;-0.14
dictatorial;347;873.69;0.33
dictators;617;787.56;-0.21
dictatorship;1926;769.39;0.05
diction;232;728.88;-0.17
dictionaries;1947;791.66;-0.06
dictionary;13452;613;-0.48
dictionary's;30;848.56;0.1
dictum;250;886.21;0.39
did;382593;569;-0.63
didactic;145;869.8;0.36
didn't;210919;643.39;-0.49
die;67931;542.66;-0.79
died;28767;600.93;-0.66
diehard;526;701.93;-0.22
diehards;108;804.04;0.17
dies;8972;639.68;-0.53
diesel;3272;763.76;-0.2
diet;12432;664.56;-0.51
dietary;1761;681.78;-0.28
dietetic;70;910.94;0.54
dietician;63;973.38;0.62
diets;1605;593.56;-0.74
differ;7482;722.43;-0.3
differed;555;846.55;0.08
difference;74565;617.06;-0.53
differences;23533;637.8;-0.41
different;223502;665.52;-0.41
differentiable;71;1042.1;0.93
differential;3987;806.15;0.04
differentiate;1961;990.16;0.68
differentiated;411;904.46;0.37
differentiating;311;1074.9;0.92
differentiation;772;906.93;0.56
differently;9725;796.88;0.02
differing;2315;807.29;0.04
differs;2528;844.29;0.28
difficult;52555;682.41;-0.38
difficulties;5784;721.31;-0.13
difficulty;11902;706.85;-0.21
diffident;48;837.45;0.18
diffract;5;1008.6;0.91
diffraction;596;1002.09;0.55
diffuse;734;770.48;-0.18
diffused;354;712.03;-0.38
diffusely;2;1012.54;0.91
diffusers;40;928.07;0.5
diffuses;93;740.06;-0.11
diffusing;83;729.4;-0.15
diffusion;1060;727.59;-0.24
dig;8929;574.35;-0.63
digest;14159;645.6;-0.61
digested;14971;724.55;-0.21
digestible;167;820.16;0.05
digesting;238;718.58;-0.15
digestion;593;680.61;-0.38
digestive;1081;787.15;-0.06
digger;352;686.2;-0.39
digging;4482;699.42;-0.29
digit;3336;705.76;-0.28
digital;46328;623.55;-0.54
digitalization;8;1034;0.72
dignified;610;716.41;-0.15
dignify;161;778.13;0.05
dignitaries;163;1087.13;44986
dignitary;104;827.08;0.12
dignity;3149;740.63;-0.23
digress;1341;842.68;0.2
digression;275;788.85;0.03
digressions;64;878.33;0.39
digs;687;728.9;-0.37
dijon;196;778.22;0.27
dike;181;784.63;-0.01
dilapidate;0;885.71;0.56
dilapidated;86;996.1;0.59
dilapidation;6;1011.67;0.89
dilatation;29;934;0.63
dilate;111;709.63;-0.06
dilated;289;782.66;-0.1
dilates;34;798.35;0.06
dilating;96;873.38;0.09
dilation;597;807.32;0.26
dilatory;23;909.32;0.31
dilemma;4662;679.34;-0.23
dilemmas;544;842.97;0.1
dilettante;54;800.86;0.81
diligence;384;804.11;0.05
diligent;510;684.76;-0.32
diligently;562;921.31;0.2
dill;491;772.9;-0.07
dilute;906;724.34;-0.08
diluted;891;704.88;-0.3
diluting;194;812.3;0.04
dilution;590;850.39;0.26
dim;4289;716.78;-0.25
dimaggio;191;950.76;0.55
dime;2557;630.65;-0.57
dimension;6519;715.39;-0.36
dimensional;2343;812.6;0.04
dimensionally;86;850.1;0.39
dimensioning;103;1039.88;0.68
dimensions;5609;702.19;-0.22
dimes;374;681.8;-0.53
dimesize;0;1077.43;0.68
diminish;1295;683.85;-0.37
diminished;1461;729.25;-0.15
diminishes;462;785.94;-0.01
diminishing;899;788.55;0
diminuendo;6;1229;12420
diminution;117;947.8;0.99
diminutive;295;955.33;0.59
dimly;510;775.84;-0.04
dimple;230;671.68;-0.35
dimwit;157;939.84;0.47
din;3775;766.53;0.08
dine;570;751.86;-0.06
dined;146;848.04;0.03
diner;1030;632.13;-0.49
dines;39;751.19;-0.3
dingdong;8;906.66;0.45
dinghy;181;912;0.76
dingle;113;783.17;0.08
dingo;334;844.32;0.08
dingy;220;805.38;0.2
dining;2670;704.03;-0.25
dinky;395;681.19;-0.07
dinner;13031;601.56;-0.67
dinners;725;621.03;-0.63
dinnertime;70;835.59;0.15
dinnerware;140;842.96;0.24
dinosaur;2381;722.9;-0.21
